id;start_date;end_date;language
1;2020-10-18T12:34:46;2020-10-18T10:25:01;SPANISH
2;2020-10-17T17:24:57;2020-10-18T12:29:22;SPANISH
3;2020-10-18T08:20:16;2020-10-17T18:54:25;FRENCH
4;2020-10-17T23:37:47;2020-10-18T11:09:13;FRENCH
5;2020-10-18T09:08:05;2020-10-18T13:55:04;FRENCH
6;2020-10-18T03:00:26;2020-10-18T15:08:40;FRENCH
7;2020-10-18T04:45:46;2020-10-17T22:36:37;FRENCH
8;2020-10-18T03:41:59;2020-10-18T13:58:07;SPANISH
9;2020-10-18T02:23:08;2020-10-17T23:04:31;SPANISH
10;2020-10-18T10:35:12;2020-10-17T21:09:42;SPANISH
